"类型","稀有度","id","名字","标签","皮肤","价格","持续关数","描述"
"Tee 卡","legendary","canyue","残月","月","IceWitch_Halloween","4","","得分 = 320 + 每关 +100 − 掷骰分 ×2.5；掷完后把 1 颗骰子改为 3 点"
"Tee 卡","legendary","change","嫦娥仙子","仙","TeeAngel","4","","改 1 颗骰子为 4 点"
"Tee 卡","legendary","changepair","嫦娥飞仙","仙","GlowPinky","4","","改 2 颗骰子为 4 点，但得分 ×0.5"
"Tee 卡","legendary","changmingdeng","长明灯","灯","glow_cammo","4","","每拥有一个独特的「灯」系角色：所有「灯」系 Tee 得分 ×1.25（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","legendary","chijin","赤金仙丹","仙","FireCrystalCat","4","","得分 ×1.5；三红及以上再 ×2.5"
"Tee 卡","legendary","dazhanggui","饼铺掌柜","饼","biscuit","4","","每累计卖出 1 个 Tee：得分 ×1.3（每回合最多计 2 个，叠乘）"
"Tee 卡","legendary","fagui","伐桂","桂","Green person","4","","掷完可发动：左侧 Tee +700 分（冷却 3 关）"
"Tee 卡","legendary","guanghandenghui","广寒灯会","灯","10Nanami_glow","4","","该 Tee 身上每张加成卡，得分 ×1.7"
"Tee 卡","legendary","guidian","桂殿","桂","ghost_greensward","4","","每拥有一个独特的「桂」系角色：所有「桂」系 Tee 得分 ×1.2（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","legendary","guihuashu","金粟神树","","greenstripe","4","","全队总分 ×1.5"
"Tee 卡","legendary","jinchan","仙蟾","仙","royal_turtle","4","","掷完可发动：本 Tee +650 分（冷却 3 关）"
"Tee 卡","legendary","jinghuashuiyue","镜花仙缘","仙","cammostripeangelgirl","4","","复制右侧 Tee 的卡牌，且全队总分 ×1.25"
"Tee 卡","legendary","jinhua","月下金花","月","IceWitch_Sakura","4","","自己每有 1 颗 4 点：得分 +120"
"Tee 卡","legendary","jinyuebing","金饼","饼","candy_apple","4","","得分 ×3"
"Tee 卡","legendary","liulong","六龙仙驭","仙","dragon 2","4","","自己每有 1 颗 6 点：得分 +25、每颗 ×2；同点 n 颗按 4 点线档位结算"
"Tee 卡","legendary","mingyuegongzhao","明月共照","月","Startee","4","","「我」掷出""四进""及以上时，全队 Tee 得分 +300、×3"
"Tee 卡","legendary","panlong","蟠龙礼盒","","ghost_dragon","4","","全队总分 ×1.3，每关 +4 月饼币；每 10 月饼币：该 Tee 得分 ×1.2"
"Tee 卡","legendary","quanjiafu","合家福饼","饼","Red and White","4","","队伍每多 1 人：得分 ×1.5；满 6 人再 ×2"
"Tee 卡","legendary","qunxianhui","群仙会","仙","Drag Queen","4","","每拥有一个独特的「仙」系角色：所有「仙」系 Tee 得分 ×1.3（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","legendary","sanqing","三清仙尊","仙","IceWitch_Druid","4","","自己每有 1 颗 3 点：得分 +20、每颗 ×2；同点 n 颗按 4 点线档位结算"
"Tee 卡","legendary","shilun","时之仙轮","仙","Hollow Knight","4","","掷完可发动：本关重新掷过（冷却 7 关）"
"Tee 卡","legendary","shuangbi","桂璧生辉","桂","OnyxNanami_AquaGreen","4","","自己每有 1 颗 2 点：得分 +20、每颗 ×2；同点 n 颗按 4 点线档位结算"
"Tee 卡","legendary","taiyin","太阴素月","月","IceWitch_Queen","4","","每拥有一个独特的「月」系角色：所有「月」系 Tee 得分 ×1.15（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","legendary","tuanyuanbing","团圆饼","饼","Mint Choco","4","","每拥有一个独特的「饼」系角色：所有「饼」系 Tee 得分 ×1.35（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","legendary","wangyue","望月","月","star","4","","骰子点数和 ×10 计入得分；和值超过 15 后每点：得分 ×1.15"
"Tee 卡","legendary","wugang","吴刚成仙","仙","king-greyfox","4","","改 1 颗骰子为任意点数"
"Tee 卡","legendary","wuyue","五岳桂香","桂","Green ray","4","","自己每有 1 颗 5 点：得分 +25、每颗 ×2；同点 n 颗按 4 点线档位结算"
"Tee 卡","legendary","xinyue","朔日","","IceWitch_Snow","4","","「我」掷出的 3 点视为 4 点；本关「我」每有 1 颗 3，得分就 ×2（叠乘）"
"Tee 卡","legendary","yiyang","纯阳仙","仙","clan_wheat","4","","自己每有 1 颗 1 点：得分 +20、每颗 ×2；同点 n 颗按 4 点线档位结算"
"Tee 卡","legendary","yuebingshijia","饼香世家","饼","cupcakecherry","4","","每拥有一个独特的「饼」系角色，该 Tee 得分 ×2.2"
"Tee 卡","legendary","yuegongxianzi","仙子临凡","仙","IceWitch_AccurateAngel","4","","状元及以上：得分 ×5.5"
"Tee 卡","legendary","yuetu","仙娥","仙","IceWitch_Fairy","4","","可投掷 3 次，且得分 ×1.5"
"Tee 卡","legendary","yuexialaoren","月下老人","月","OLD Tee","4","","回合结算时：左右两人本关得分的 75% + 150 分加进全队分，自己 ×1.45"
"Tee 卡","legendary","yueying","霜影","","White Jawbreaker","4","","自己的 1 点视为 4 点"
"Tee 卡","legendary","yutulinfan","玉兔临凡","兔","usagi","4","","每拥有一个独特的「兔」系角色：所有「兔」系 Tee 得分 ×1.45（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","baiyutu","白玉兔","兔","Cute_bunny","2","","可投掷 3 次"
"Tee 卡","rare","bingdilian","并蒂莲","","rainbowwateregg","2","","回合结算时：左右两人本关得分的 45% + 100 分加进全队分，自己 ×1.35"
"Tee 卡","rare","changong","蟾魄","","IceWitch_Frozen","2","","自己的 6 点视为 4 点"
"Tee 卡","rare","dengguan","灯官","灯","glow_hammie","2","","该 Tee 身上每张加成卡，得分 ×1.4"
"Tee 卡","rare","dengzhen","灯阵","灯","glow_axolotl","2","","每拥有一个独特的「灯」系角色：该 Tee 得分 ×1.5（叠乘）；每有 1 颗四点，得分 +1"
"Tee 卡","rare","guanghan","月上广寒","月","IceWitch","2","","该 Tee 得分 +20，掷出的 1、6 视为 4；回合结算时：总分额外 +（「我」的得分 × 相邻 Tee 本关得分 ÷ 该 Tee 得分），右邻优先"
"Tee 卡","rare","guanghangong","月宫广寒","月","IceWitch_IceQueen","2","","每过一关：得分 ×1.25，可叠（复利）"
"Tee 卡","rare","guihuajiu","桂花酒","桂","Apple green","2","","得分 +85，×1.2"
"Tee 卡","rare","guihuaniang","桂花酿","桂","grapegreen","2","","得分 +45，×1.5"
"Tee 卡","rare","guishu","桂树","桂","Leafeon","2","","每过一关：得分 ×1.15，可叠（复利）"
"Tee 卡","rare","guiyuan","桂苑","桂","flower_crown_ghost","2","","每拥有一个独特的「桂」系角色：该 Tee 得分 ×1.4（叠乘）；每有 1 颗四点，得分 +1"
